PID    Process Adi                      RAM (KB)
----------------------------------------------------
0      [System Process]                      N/A
4      System                                N/A
88     Secure System                         N/A
156    Registry                              N/A
608    smss.exe                              N/A
900    csrss.exe                             N/A
684    wininit.exe                           N/A
876    csrss.exe                             N/A
976    services.exe                          N/A
1012   LsaIso.exe                            N/A
780    lsass.exe                             N/A
1124   svchost.exe                           N/A
1148   fontdrvhost.exe                       N/A
1216   svchost.exe                           N/A
1284   svchost.exe                           N/A
1340   winlogon.exe                          N/A
1388   fontdrvhost.exe                       N/A
1432   WUDFHost.exe                          N/A
1548   svchost.exe                           N/A
1556   svchost.exe                           N/A
1564   svchost.exe                           N/A
1572   svchost.exe                           N/A
1716   svchost.exe                           N/A
1724   svchost.exe                           N/A
1740   svchost.exe                           N/A
1860   svchost.exe                           N/A
1924   svchost.exe                           N/A
1968   svchost.exe                           N/A
980    svchost.exe                           N/A
708    svchost.exe                           N/A
2212   svchost.exe                           N/A
2220   svchost.exe                           N/A
2232   svchost.exe                           N/A
2360   dwm.exe                               N/A
2436   svchost.exe                           N/A
2476   svchost.exe                           N/A
2648   svchost.exe                           N/A
2772   svchost.exe                           N/A
2796   svchost.exe                           N/A
2820   WUDFHost.exe                          N/A
2916   svchost.exe                           N/A
3052   svchost.exe                           N/A
3060   svchost.exe                           N/A
2240   svchost.exe                           N/A
3104   svchost.exe                           N/A
3164   svchost.exe                           N/A
3184   NVDisplay.Container.exe               N/A
3268   svchost.exe                           N/A
3348   svchost.exe                           N/A
3364   svchost.exe                           N/A
3444   svchost.exe                           N/A
3456   svchost.exe                           N/A
3508   svchost.exe                           N/A
3548   svchost.exe                           N/A
3556   svchost.exe                           N/A
3636   WUDFHost.exe                          N/A
3704   svchost.exe                           N/A
3848   svchost.exe                           N/A
3856   NVDisplay.Container.exe               N/A
4312   svchost.exe                           N/A
4568   dasHost.exe                           N/A
4676   svchost.exe                           N/A
4684   svchost.exe                           N/A
4860   svchost.exe                           N/A
4940   svchost.exe                           N/A
5004   wlanext.exe                           N/A
5012   conhost.exe                           N/A
4516   svchost.exe                           N/A
5196   spoolsv.exe                           N/A
5368   svchost.exe                           N/A
5560   AdobeUpdateService.exe                N/A
5568   FMService64.exe                       N/A
5576   DAX3API.exe                           N/A
5584   svchost.exe                           N/A
5592   svchost.exe                           N/A
5616   MpDefenderCoreService.exe             N/A
5632   RstMwService.exe                      N/A
5640   vmware-usbarbitrator64.exe            N/A
5656   svchost.exe                           N/A
5664   vmnat.exe                             N/A
5684   vmnetdhcp.exe                         N/A
5692   nvcontainer.exe                       N/A
5708   svchost.exe                           N/A
5700   RtkAudUService64.exe                  N/A
5716   wslservice.exe                        N/A
5724   svchost.exe                           N/A
5732   NIHardwareService.exe                 N/A
5740   MsMpEng.exe                           N/A
5748   LMS.exe                               N/A
5756   svchost.exe                           N/A
5764   TeamViewer_Service.exe                N/A
5772   svchost.exe                           N/A
5784   svchost.exe                           N/A
5836   AGMService.exe                        N/A
6008   vmware-authd.exe                      N/A
6104   esif_uf.exe                           N/A
6212   jhi_service.exe                       N/A
6288   svchost.exe                           N/A
6332   svchost.exe                           N/A
6824   svchost.exe                           N/A
6844   lmgrd.exe                             N/A
6976   conhost.exe                           N/A
6048   unsecapp.exe                          N/A
7524   svchost.exe                           N/A
7612   svchost.exe                           N/A
7856   sihost.exe                          28956
7928   svchost.exe                         40252
7932   svchost.exe                          8752
8028   svchost.exe                         41284
8132   taskhostw.exe                       13296
8168   Lenovo Migration Assistant Srv.exe        N/A
7348   svchost.exe                           N/A
3596   taskhostw.exe                       22424
8000   svchost.exe                           N/A
8364   svchost.exe                           N/A
8496   ctfmon.exe                            N/A
8508   rundll32.exe                          N/A
8708   dllhost.exe                           N/A
9008   explorer.exe                       361260
9048   vmware-hostd.exe                      N/A
9064   DAX3API.exe                           N/A
9368   svchost.exe                           N/A
9632   nvcontainer.exe                     31588
9676   nvcontainer.exe                     77104
10024  svchost.exe                           N/A
10344  svchost.exe                         22776
10492  AggregatorHost.exe                    N/A
8492   StartMenuExperienceHost.exe        101580
5460   NVIDIA Web Helper.exe               19264
5488   svchost.exe                           N/A
11284  conhost.exe                          1760
11332  RuntimeBroker.exe                   30796
11576  DSRHost.exe                           N/A
11784  SearchApp.exe                       96404
11892  RuntimeBroker.exe                   38256
12444  ShellExperienceHost.exe             65652
12536  svchost.exe                           N/A
12196  lmgrd.exe                             N/A
10584  cdslmd.exe                            N/A
12916  RuntimeBroker.exe                   20508
13052  LockApp.exe                         60536
13464  RuntimeBroker.exe                   40432
13940  NisSrv.exe                            N/A
14080  nvsphelper64.exe                      N/A
14104  NVIDIA Share.exe                    66344
